waterbody,usgs_site_no,date,gage_height_ft,qualifiers
Geneva Lake,423525088260400,2023-04-27,2.56,A
Geneva Lake,423525088260400,2023-04-28,2.55,A
Geneva Lake,423525088260400,2023-04-29,2.57,A
Geneva Lake,423525088260400,2023-04-30,2.58,A
Geneva Lake,423525088260400,2023-05-01,2.59,A
Geneva Lake,423525088260400,2023-05-02,2.58,A
Geneva Lake,423525088260400,2023-05-03,2.57,A
Geneva Lake,423525088260400,2023-05-04,2.56,A
Geneva Lake,423525088260400,2023-05-05,2.56,A
Geneva Lake,423525088260400,2023-05-06,2.55,A
Geneva Lake,423525088260400,2023-05-07,2.55,A
Geneva Lake,423525088260400,2023-05-08,2.57,A
Geneva Lake,423525088260400,2023-05-09,2.60,A
Geneva Lake,423525088260400,2023-05-10,2.59,A
Geneva Lake,423525088260400,2023-05-11,2.59,A
Geneva Lake,423525088260400,2023-05-12,2.59,A
Geneva Lake,423525088260400,2023-05-13,2.61,A
Geneva Lake,423525088260400,2023-05-14,2.60,A
Geneva Lake,423525088260400,2023-05-15,2.60,A
Geneva Lake,423525088260400,2023-05-16,2.60,A
Geneva Lake,423525088260400,2023-05-17,2.57,A
Geneva Lake,423525088260400,2023-05-18,2.57,A
Geneva Lake,423525088260400,2023-05-19,2.59,A
Geneva Lake,423525088260400,2023-05-20,2.59,A
Geneva Lake,423525088260400,2023-05-21,2.58,A
Geneva Lake,423525088260400,2023-05-22,2.57,A
Geneva Lake,423525088260400,2023-05-23,2.57,A
Geneva Lake,423525088260400,2023-05-24,2.55,A
Geneva Lake,423525088260400,2023-05-25,2.52,A
Geneva Lake,423525088260400,2023-05-26,2.52,A
Geneva Lake,423525088260400,2023-05-27,2.51,A
Geneva Lake,423525088260400,2023-05-28,2.51,A
Geneva Lake,423525088260400,2023-05-29,2.50,A
Geneva Lake,423525088260400,2023-05-30,2.50,A
Geneva Lake,423525088260400,2023-05-31,2.50,A
Geneva Lake,423525088260400,2023-06-01,2.51,A
Geneva Lake,423525088260400,2023-06-02,2.50,A
Geneva Lake,423525088260400,2023-06-03,2.49,A
Geneva Lake,423525088260400,2023-06-04,2.47,A
Geneva Lake,423525088260400,2023-06-05,2.48,A
Geneva Lake,423525088260400,2023-06-06,2.47,A
Geneva Lake,423525088260400,2023-06-07,2.45,A
